               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.032319,           0.0079563,           0.0036704,             0.88179,             0.81997,             0.86708,             0.55543,            0.034686,             0.00877,           0.0089443,            0.005644,            0.005644,            0.005644
                 134,            0.031996,           0.0078541,           0.0034662,             0.90048,             0.84458,             0.86031,             0.56075,            0.034353,           0.0084352,           0.0078208,            0.005611,            0.005611,            0.005611
                 135,            0.032637,            0.007783,           0.0032711,              0.9089,             0.83846,             0.86997,             0.55544,            0.034126,           0.0082264,           0.0068221,            0.005578,            0.005578,            0.005578
                 136,            0.033298,           0.0078001,           0.0036971,             0.90525,             0.84157,             0.87485,              0.5605,            0.034233,           0.0082393,           0.0068259,            0.005545,            0.005545,            0.005545
                 137,            0.032553,           0.0071474,           0.0032762,             0.88213,              0.8304,             0.86211,             0.54803,            0.034607,           0.0083618,           0.0079272,            0.005512,            0.005512,            0.005512
                 138,            0.032561,           0.0075863,           0.0035337,             0.90652,             0.81642,             0.85646,              0.5401,            0.034441,           0.0084496,           0.0076067,            0.005479,            0.005479,            0.005479
                 139,            0.030917,           0.0076333,           0.0033614,             0.91354,             0.77453,             0.85377,             0.54629,            0.034418,            0.008503,            0.010832,            0.005446,            0.005446,            0.005446
                 140,            0.032692,           0.0070971,           0.0036995,             0.94458,             0.81019,             0.86898,             0.54719,            0.035737,           0.0088434,           0.0085115,            0.005413,            0.005413,            0.005413
                 141,            0.031321,           0.0074517,           0.0032724,             0.96572,             0.79119,             0.86756,             0.54594,            0.034511,           0.0085506,           0.0078526,             0.00538,             0.00538,             0.00538
                 142,            0.031678,           0.0072413,           0.0033332,              0.9221,             0.82118,             0.86223,              0.5531,            0.035226,           0.0084367,           0.0091555,            0.005347,            0.005347,            0.005347
                 143,            0.032347,           0.0075385,           0.0034685,             0.93496,             0.84399,             0.88626,             0.54889,            0.034346,           0.0083628,           0.0084341,            0.005314,            0.005314,            0.005314
                 144,            0.032121,           0.0080182,           0.0037517,             0.93403,             0.84274,             0.89353,             0.56056,            0.034194,           0.0082421,           0.0093024,            0.005281,            0.005281,            0.005281
                 145,            0.030975,           0.0074868,           0.0033817,             0.95231,             0.78393,             0.88182,             0.55868,            0.034315,           0.0083013,           0.0093038,            0.005248,            0.005248,            0.005248
                 146,            0.032448,           0.0076869,           0.0036945,             0.93236,             0.80654,              0.8859,             0.55977,             0.03401,           0.0082541,           0.0092678,            0.005215,            0.005215,            0.005215
